"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"1998","15","15000","Hawaii","1,168,123","122,841","110,839","134,843","110,839 to 134,843","10.5","9.5","11.5","9.5 to 11.5","296,620","44,568","37,137","52,000","37,137 to 52,000","15.0","12.5","17.5","12.5 to 17.5","210,070","29,039","22,647","35,431","22,647 to 35,431","13.8","10.8","16.9","10.8 to 16.9","82,811","13,892","10,158","17,627","10,158 to 17,627","16.8","12.3","21.3","12.3 to 21.3","$41,627","$39,121","$44,133","$39,121 to $44,133"
"1997","15","15000","Hawaii","NA","130,644","116,136","145,152","116,136 to 145,152","11.1","9.9","12.3","9.9 to 12.3","NA","48,849","41,108","56,590","41,108 to 56,590","16.2","13.7","18.8","13.7 to 18.8","NA","30,863","24,415","37,311","24,415 to 37,311","14.6","11.6","17.7","11.6 to 17.7","NA","16,282","12,127","20,437","12,127 to 20,437","18.9","14.1","23.7","14.1 to 23.7","$43,627","$41,622","$45,632","$41,622 to $45,632"
"1996","15","15000","Hawaii","NA","137,386","124,166","150,606","124,166 to 150,606","11.7","10.6","12.8","10.6 to 12.8","NA","54,407","46,730","62,083","46,730 to 62,083","17.9","15.4","20.4","15.4 to 20.4","NA","34,502","27,742","41,262","27,742 to 41,262","16.2","13.0","19.4","13.0 to 19.4","NA","17,325","13,354","21,296","13,354 to 21,296","19.6","15.1","24.0","15.1 to 24.0","$43,677","$41,383","$45,970","$41,383 to $45,970"
"1995","15","15000","Hawaii","NA","115,876","101,274","130,477","101,274 to 130,477","9.9","8.7","11.2","8.7 to 11.2","NA","43,091","38,043","48,140","38,043 to 48,140","13.8","12.2","15.5","12.2 to 15.5","NA","26,107","21,504","30,710","21,504 to 30,710","12.3","10.1","14.5","10.1 to 14.5","NA","13,101","8,887","17,316","8,887 to 17,316","14.0","9.5","18.5","9.5 to 18.5","$43,973","$42,021","$45,925","$42,021 to $45,925"
"1993","15","15000","Hawaii","NA","110,972","98,511","123,433","98,511 to 123,433","9.6","8.5","10.6","8.5 to 10.6","NA","45,984","39,123","52,845","39,123 to 52,845","14.9","12.6","17.1","12.6 to 17.1","NA","26,163","20,846","31,480","20,846 to 31,480","12.5","10.0","15.1","10.0 to 15.1","NA","17,334","13,657","21,011","13,657 to 21,011","18.0","14.2","21.9","14.2 to 21.9","$39,890","$38,457","$41,323","$38,457 to $41,323"
"1989","15","15000","Hawaii","NA","102,808","93,763","111,853","93,763 to 111,853","9.4","8.6","10.3","8.6 to 10.3","NA","42,764","37,355","48,173","37,355 to 48,173","15.1","13.2","17.1","13.2 to 17.1","NA","24,290","19,611","28,969","19,611 to 28,969","12.5","10.1","14.9","10.1 to 14.9","NA","16,654","13,935","19,373","13,935 to 19,373","19.7","16.5","23.0","16.5 to 23.0","$35,832","$34,528","$37,136","$34,528 to $37,136"
"2014","16","16000","Idaho","1,603,065","237,604","230,083","245,125","230,083 to 245,125","14.8","14.3","15.3","14.3 to 15.3","424,188","80,668","76,639","84,697","76,639 to 84,697","19.0","18.1","19.9","18.1 to 19.9","312,072","54,061","50,551","57,571","50,551 to 57,571","17.3","16.2","18.4","16.2 to 18.4","110,487","24,774","22,973","26,575","22,973 to 26,575","22.4","20.8","24.0","20.8 to 24.0","$47,572","$46,434","$48,710","$46,434 to $48,710"
"2013","16","16000","Idaho","1,582,907","246,708","237,342","256,074","237,342 to 256,074","15.6","15.0","16.2","15.0 to 16.2","422,898","81,389","76,313","86,465","76,313 to 86,465","19.2","18.0","20.4","18.0 to 20.4","308,637","56,633","52,093","61,173","52,093 to 61,173","18.3","16.8","19.8","16.8 to 19.8","112,376","22,764","20,596","24,932","20,596 to 24,932","20.3","18.4","22.2","18.4 to 22.2","$46,621","$45,745","$47,497","$45,745 to $47,497"
"2012","16","16000","Idaho","1,565,489","250,203","242,232","258,174","242,232 to 258,174","16.0","15.5","16.5","15.5 to 16.5","420,753","89,672","85,260","94,084","85,260 to 94,084","21.3","20.3","22.3","20.3 to 22.3","304,826","59,158","55,230","63,086","55,230 to 63,086","19.4","18.1","20.7","18.1 to 20.7","114,062","28,783","26,880","30,686","26,880 to 30,686","25.2","23.5","26.9","23.5 to 26.9","$45,296","$44,435","$46,157","$44,435 to $46,157"
"2011","16","16000","Idaho","1,550,079","256,257","248,124","264,390","248,124 to 264,390","16.5","16.0","17.0","16.0 to 17.0","416,976","89,007","84,616","93,398","84,616 to 93,398","21.3","20.2","22.4","20.2 to 22.4","298,517","57,242","53,399","61,085","53,399 to 61,085","19.2","17.9","20.5","17.9 to 20.5","115,727","29,351","27,053","31,649","27,053 to 31,649","25.4","23.4","27.4","23.4 to 27.4","$43,345","$42,213","$44,477","$42,213 to $44,477"
"2010","16","16000","Idaho","1,541,857","244,009","236,574","251,444","236,574 to 251,444","15.8","15.3","16.3","15.3 to 16.3","423,490","83,752","79,791","87,713","79,791 to 87,713","19.8","18.9","20.7","18.9 to 20.7","301,687","51,930","48,574","55,286","48,574 to 55,286","17.2","16.1","18.3","16.1 to 18.3","119,886","30,059","27,951","32,167","27,951 to 32,167","25.1","23.3","26.9","23.3 to 26.9","$43,259","$42,380","$44,138","$42,380 to $44,138"
"2009","16","16000","Idaho","1,511,955","217,528","209,865","225,192","209,865 to 225,192","14.4","13.9","14.9","13.9 to 14.9","413,595","76,630","72,538","80,723","72,538 to 80,723","18.5","17.5","19.5","17.5 to 19.5","288,326","47,402","43,954","50,850","43,954 to 50,850","16.4","15.2","17.6","15.2 to 17.6","123,377","27,308","25,112","29,504","25,112 to 29,504","22.1","20.4","23.9","20.4 to 23.9","$44,644","$43,785","$45,504","$43,785 to $45,504"
"2008","16","16000","Idaho","1,489,050","186,015","178,723","193,306","178,723 to 193,306","12.5","12.0","13.0","12.0 to 13.0","406,334","64,361","60,642","68,081","60,642 to 68,081","15.8","14.9","16.8","14.9 to 16.8","283,097","37,696","34,449","40,943","34,449 to 40,943","13.3","12.2","14.5","12.2 to 14.5","119,637","23,738","21,899","25,578","21,899 to 25,578","19.8","18.3","21.4","18.3 to 21.4","$47,561","$46,654","$48,467","$46,654 to $48,467"
"2007","16","16000","Idaho","1,464,464","177,830","172,138","183,522","172,138 to 183,522","12.1","11.8","12.5","11.8 to 12.5","400,558","63,568","60,029","67,106","60,029 to 67,106","15.9","15.0","16.8","15.0 to 16.8","281,584","39,046","35,892","42,200","35,892 to 42,200","13.9","12.7","15.0","12.7 to 15.0","116,544","22,306","20,643","23,969","20,643 to 23,969","19.1","17.7","20.6","17.7 to 20.6","$46,136","$45,434","$46,838","$45,434 to $46,838"
"2006","16","16000","Idaho","1,431,508","182,933","177,567","188,299","177,567 to 188,299","12.8","12.4","13.2","12.4 to 13.2","387,232","61,771","58,540","65,002","58,540 to 65,002","16.0","15.1","16.8","15.1 to 16.8","273,619","37,915","35,165","40,665","35,165 to 40,665","13.9","12.9","14.9","12.9 to 14.9","110,881","21,276","19,625","22,926","19,625 to 22,926","19.2","17.7","20.7","17.7 to 20.7","$42,846","$42,066","$43,625","$42,066 to $43,625"
"2005","16","16000","Idaho","1,388,737","186,454","180,470","192,438","180,470 to 192,438","13.4","13.0","13.9","13.0 to 13.9","365,660","62,934","59,594","66,274","59,594 to 66,274","17.2","16.3","18.1","16.3 to 18.1","259,953","39,106","36,286","41,926","36,286 to 41,926","15.0","14.0","16.1","14.0 to 16.1","103,647","21,806","20,193","23,420","20,193 to 23,420","21.0","19.5","22.6","19.5 to 22.6","$41,269","$40,513","$42,024","$40,513 to $42,024"
"2004","16","16000","Idaho","1,403,100","160,788","147,244","174,332","147,244 to 174,332","11.5","10.5","12.4","10.5 to 12.4","373,725","56,562","49,918","63,206","49,918 to 63,206","15.1","13.4","16.9","13.4 to 16.9","262,564","33,487","27,656","39,318","27,656 to 39,318","12.8","10.5","15.0","10.5 to 15.0","105,617","20,202","16,937","23,468","16,937 to 23,468","19.1","16.0","22.2","16.0 to 22.2","$40,509","$38,855","$42,163","$38,855 to $42,163"
"2003","16","16000","Idaho","1,365,507","160,019","150,088","169,950","150,088 to 169,950","11.7","11.0","12.4","11.0 to 12.4","370,512","58,905","53,458","64,352","53,458 to 64,352","15.9","14.4","17.4","14.4 to 17.4","263,016","35,921","31,919","39,923","31,919 to 39,923","13.7","12.1","15.2","12.1 to 15.2","101,548","20,407","16,806","24,008","16,806 to 24,008","20.1","16.5","23.6","16.5 to 23.6","$39,859","$38,318","$41,401","$38,318 to $41,401"
"2002","16","16000","Idaho","1,340,189","156,519","146,860","166,178","146,860 to 166,178","11.7","11.0","12.4","11.0 to 12.4","369,225","54,964","49,680","60,249","49,680 to 60,249","14.9","13.5","16.3","13.5 to 16.3","263,122","33,780","29,426","38,134","29,426 to 38,134","12.8","11.2","14.5","11.2 to 14.5","99,444","19,172","16,178","22,166","16,178 to 22,166","19.3","16.3","22.3","16.3 to 22.3","$38,242","$36,530","$39,953","$36,530 to $39,953"
"2001","16","16000","Idaho","1,314,960","151,614","143,103","160,124","143,103 to 160,124","11.5","10.9","12.2","10.9 to 12.2","369,614","56,327","50,046","62,609","50,046 to 62,609","15.2","13.5","16.9","13.5 to 16.9","262,217","33,977","28,465","39,489","28,465 to 39,489","13.0","10.9","15.1","10.9 to 15.1","99,554","19,123","16,719","21,526","16,719 to 21,526","19.2","16.8","21.6","16.8 to 21.6","$38,459","$37,041","$39,877","$37,041 to $39,877"
"2000","16","16000","Idaho","1,293,002","145,043","136,620","153,467","136,620 to 153,467","11.2","10.6","11.9","10.6 to 11.9","367,412","55,830","50,519","61,142","50,519 to 61,142","15.2","13.7","16.6","13.7 to 16.6","260,373","33,578","29,021","38,135","29,021 to 38,135","12.9","11.1","14.6","11.1 to 14.6","98,880","19,048","16,428","21,667","16,428 to 21,667","19.3","16.6","21.9","16.6 to 21.9","$37,929","$36,158","$39,699","$36,158 to $39,699"
"1999","16","16000","Idaho","1,271,849","154,304","142,011","166,598","142,011 to 166,598","12.1","11.2","13.1","11.2 to 13.1","366,841","61,718","52,411","71,025","52,411 to 71,025","16.8","14.3","19.4","14.3 to 19.4","265,667","37,611","29,835","45,387","29,835 to 45,387","14.2","11.2","17.1","11.2 to 17.1","96,858","21,755","16,646","26,865","16,646 to 26,865","22.5","17.2","27.7","17.2 to 27.7","$36,656","$35,359","$37,952","$35,359 to $37,952"
"1998","16","16000","Idaho","1,251,465","157,351","145,362","169,341","145,362 to 169,341","12.6","11.6","13.5","11.6 to 13.5","365,360","63,682","55,196","72,168","55,196 to 72,168","17.4","15.1","19.8","15.1 to 19.8","261,944","39,373","31,850","46,896","31,850 to 46,896","15.0","12.2","17.9","12.2 to 17.9","97,190","22,053","18,147","25,958","18,147 to 25,958","22.7","18.7","26.7","18.7 to 26.7","$35,863","$34,130","$37,595","$34,130 to $37,595"
"1997","16","16000","Idaho","NA","159,237","146,917","171,557","146,917 to 171,557","13.0","12.0","14.0","12.0 to 14.0","NA","61,496","54,230","68,763","54,230 to 68,763","17.3","15.2","19.3","15.2 to 19.3","NA","37,939","31,709","44,169","31,709 to 44,169","14.9","12.5","17.4","12.5 to 17.4","NA","20,198","16,777","23,618","16,777 to 23,618","21.7","18.0","25.3","18.0 to 25.3","$33,612","$32,027","$35,196","$32,027 to $35,196"
"1996","16","16000","Idaho","NA","144,038","132,527","155,550","132,527 to 155,550","11.9","11.0","12.9","11.0 to 12.9","NA","56,860","49,727","63,993","49,727 to 63,993","15.9","13.9","17.9","13.9 to 17.9","NA","33,687","27,087","40,287","27,087 to 40,287","13.0","10.5","15.6","10.5 to 15.6","NA","19,894","16,677","23,111","16,677 to 23,111","21.1","17.7","24.5","17.7 to 24.5","$33,279","$31,365","$35,194","$31,365 to $35,194"
"1995","16","16000","Idaho","NA","149,245","139,956","158,533","139,956 to 158,533","12.6","11.8","13.3","11.8 to 13.3","NA","58,971","53,599","64,342","53,599 to 64,342","16.5","15.0","18.0","15.0 to 18.0","NA","33,563","29,543","37,583","29,543 to 37,583","13.1","11.5","14.6","11.5 to 14.6","NA","21,926","18,319","25,533","18,319 to 25,533","23.3","19.5","27.1","19.5 to 27.1","$32,003","$30,469","$33,537","$30,469 to $33,537"
"1993","16","16000","Idaho","NA","142,604","131,388","153,820","131,388 to 153,820","12.5","11.6","13.5","11.6 to 13.5","NA","54,066","47,169","60,963","47,169 to 60,963","15.5","13.5","17.5","13.5 to 17.5","NA","31,455","25,505","37,405","25,505 to 37,405","12.5","10.1","14.8","10.1 to 14.8","NA","19,491","17,119","21,863","17,119 to 21,863","21.3","18.7","23.9","18.7 to 23.9","$28,987","$27,753","$30,221","$27,753 to $30,221"
"1989","16","16000","Idaho","NA","135,498","129,958","141,038","129,958 to 141,038","13.5","13.0","14.1","13.0 to 14.1","NA","58,292","54,453","62,131","54,453 to 62,131","18.7","17.5","19.9","17.5 to 19.9","NA","37,306","34,116","40,496","34,116 to 40,496","16.6","15.2","18.0","15.2 to 18.0","NA","18,176","15,911","20,441","15,911 to 20,441","22.0","19.2","24.7","19.2 to 24.7","$25,267","$24,160","$26,374","$24,160 to $26,374"
"2014","17","17000","Illinois","12,571,810","1,802,337","1,778,953","1,825,721","1,778,953 to 1,825,721","14.3","14.1","14.5","14.1 to 14.5","2,938,448","591,750","577,617","605,883","577,617 to 605,883","20.1","19.6","20.6","19.6 to 20.6","2,153,960","404,950","392,935","416,965","392,935 to 416,965","18.8","18.2","19.4","18.2 to 19.4","772,256","175,611","168,354","182,868","168,354 to 182,868","22.7","21.8","23.6","21.8 to 23.6","$57,458","$57,035","$57,881","$57,035 to $57,881"
"2013","17","17000","Illinois","12,576,676","1,841,996","1,815,888","1,868,104","1,815,888 to 1,868,104","14.6","14.4","14.8","14.4 to 14.8","2,975,854","613,204","596,994","629,414","596,994 to 629,414","20.6","20.1","21.1","20.1 to 21.1","2,183,649","427,235","412,541","441,929","412,541 to 441,929","19.6","18.9","20.3","18.9 to 20.3","780,845","174,886","167,712","182,060","167,712 to 182,060","22.4","21.5","23.3","21.5 to 23.3","$56,212","$55,814","$56,610","$55,814 to $56,610"
"2012","17","17000","Illinois","12,573,692","1,847,371","1,823,585","1,871,157","1,823,585 to 1,871,157","14.7","14.5","14.9","14.5 to 14.9","3,019,220","621,972","606,995","636,949","606,995 to 636,949","20.6","20.1","21.1","20.1 to 21.1","2,207,600","425,733","412,185","439,281","412,185 to 439,281","19.3","18.7","19.9","18.7 to 19.9","800,678","186,178","180,107","192,249","180,107 to 192,249","23.3","22.5","24.1","22.5 to 24.1","$55,126","$54,725","$55,527","$54,725 to $55,527"
"2011","17","17000","Illinois","12,566,914","1,871,484","1,845,497","1,897,471","1,845,497 to 1,897,471","14.9","14.7","15.1","14.7 to 15.1","3,055,200","651,430","636,157","666,703","636,157 to 666,703","21.3","20.8","21.8","20.8 to 21.8","2,231,514","443,273","430,016","456,530","430,016 to 456,530","19.9","19.3","20.5","19.3 to 20.5","812,299","198,619","191,172","206,066","191,172 to 206,066","24.5","23.6","25.4","23.6 to 25.4","$53,271","$52,773","$53,769","$52,773 to $53,769"
"2010","17","17000","Illinois","12,543,476","1,732,129","1,707,831","1,756,427","1,707,831 to 1,756,427","13.8","13.6","14.0","13.6 to 14.0","3,085,434","599,714","585,217","614,211","585,217 to 614,211","19.4","18.9","19.9","18.9 to 19.9","2,255,338","408,636","395,855","421,417","395,855 to 421,417","18.1","17.5","18.7","17.5 to 18.7","820,181","181,600","174,555","188,645","174,555 to 188,645","22.1","21.2","23.0","21.2 to 23.0","$52,967","$52,541","$53,393","$52,541 to $53,393"
"2009","17","17000","Illinois","12,574,339","1,671,343","1,642,933","1,699,754","1,642,933 to 1,699,754","13.3","13.1","13.5","13.1 to 13.5","3,132,264","586,040","569,067","603,014","569,067 to 603,014","18.7","18.2","19.3","18.2 to 19.3","2,242,179","392,427","377,672","407,182","377,672 to 407,182","17.5","16.8","18.2","16.8 to 18.2","878,839","183,410","175,761","191,060","175,761 to 191,060","20.9","20.0","21.7","20.0 to 21.7","$53,974","$53,579","$54,368","$53,579 to $54,368"
"2008","17","17000","Illinois","12,568,180","1,529,235","1,507,151","1,551,320","1,507,151 to 1,551,320","12.2","12.0","12.3","12.0 to 12.3","3,138,292","531,774","518,602","544,945","518,602 to 544,945","16.9","16.5","17.4","16.5 to 17.4","2,247,582","345,496","334,386","356,606","334,386 to 356,606","15.4","14.9","15.9","14.9 to 15.9","880,425","176,645","169,560","183,730","169,560 to 183,730","20.1","19.3","20.9","19.3 to 20.9","$56,230","$55,869","$56,590","$55,869 to $56,590"
"2007","17","17000","Illinois","12,541,197","1,496,152","1,472,155","1,520,149","1,472,155 to 1,520,149","11.9","11.7","12.1","11.7 to 12.1","3,158,197","524,318","508,387","540,250","508,387 to 540,250","16.6","16.1","17.1","16.1 to 17.1","2,264,334","348,638","334,986","362,290","334,986 to 362,290","15.4","14.8","16.0","14.8 to 16.0","877,385","161,574","153,677","169,472","153,677 to 169,472","18.4","17.5","19.3","17.5 to 19.3","$54,141","$53,778","$54,504","$53,778 to $54,504"
"2006","17","17000","Illinois","12,516,474","1,536,133","1,513,055","1,559,212","1,513,055 to 1,559,212","12.3","12.1","12.5","12.1 to 12.5","3,172,098","539,870","525,441","554,299","525,441 to 554,299","17.0","16.6","17.5","16.6 to 17.5","2,283,673","359,381","346,729","372,033","346,729 to 372,033","15.7","15.2","16.3","15.2 to 16.3","875,177","168,290","161,398","175,182","161,398 to 175,182","19.2","18.4","20.0","18.4 to 20.0","$52,012","$51,741","$52,282","$51,741 to $52,282"
"2005","17","17000","Illinois","12,400,423","1,484,992","1,458,942","1,511,042","1,458,942 to 1,511,042","12.0","11.8","12.2","11.8 to 12.2","3,188,914","524,897","509,022","540,772","509,022 to 540,772","16.5","16.0","17.0","16.0 to 17.0","2,289,880","341,763","329,036","354,490","329,036 to 354,490","14.9","14.4","15.5","14.4 to 15.5","887,240","172,082","162,933","181,232","162,933 to 181,232","19.4","18.4","20.4","18.4 to 20.4","$50,270","$49,940","$50,601","$49,940 to $50,601"
"2004","17","17000","Illinois","12,528,129","1,486,115","1,395,834","1,576,396","1,395,834 to 1,576,396","11.9","11.1","12.6","11.1 to 12.6","3,232,895","539,394","488,300","590,487","488,300 to 590,487","16.7","15.1","18.3","15.1 to 18.3","2,322,622","369,244","321,539","416,949","321,539 to 416,949","15.9","13.8","18.0","13.8 to 18.0","887,310","157,174","135,866","178,482","135,866 to 178,482","17.7","15.3","20.1","15.3 to 20.1","$47,711","$46,301","$49,121","$46,301 to $49,121"
"2003","17","17000","Illinois","12,477,639","1,426,978","1,346,150","1,507,806","1,346,150 to 1,507,806","11.4","10.8","12.1","10.8 to 12.1","3,235,729","505,048","465,636","544,459","465,636 to 544,459","15.6","14.4","16.8","14.4 to 16.8","2,324,659","333,173","301,417","364,929","301,417 to 364,929","14.3","13.0","15.7","13.0 to 15.7","880,251","154,707","131,219","178,196","131,219 to 178,196","17.6","14.9","20.2","14.9 to 20.2","$47,367","$45,872","$48,863","$45,872 to $48,863"
"2002","17","17000","Illinois","12,443,493","1,411,869","1,325,875","1,497,863","1,325,875 to 1,497,863","11.3","10.7","12.0","10.7 to 12.0","3,234,154","494,208","452,290","536,127","452,290 to 536,127","15.3","14.0","16.6","14.0 to 16.6","2,300,325","317,920","285,812","350,028","285,812 to 350,028","13.8","12.4","15.2","12.4 to 15.2","887,347","161,558","134,807","188,310","134,807 to 188,310","18.2","15.2","21.2","15.2 to 21.2","$44,946","$43,228","$46,664","$43,228 to $46,664"
"2001","17","17000","Illinois","12,324,141","1,247,836","1,183,039","1,312,632","1,183,039 to 1,312,632","10.1","9.6","10.7","9.6 to 10.7","3,208,994","469,832","424,692","514,973","424,692 to 514,973","14.6","13.2","16.0","13.2 to 16.0","2,305,114","314,263","273,563","354,963","273,563 to 354,963","13.6","11.9","15.4","11.9 to 15.4","872,666","137,174","120,174","154,174","120,174 to 154,174","15.7","13.8","17.7","13.8 to 17.7","$46,991","$45,668","$48,314","$45,668 to $48,314"
"2000","17","17000","Illinois","12,243,210","1,227,886","1,162,967","1,292,805","1,162,967 to 1,292,805","10.0","9.5","10.6","9.5 to 10.6","3,203,066","466,500","428,675","504,326","428,675 to 504,326","14.6","13.4","15.7","13.4 to 15.7","2,294,341","302,163","269,619","334,707","269,619 to 334,707","13.2","11.8","14.6","11.8 to 14.6","865,197","147,441","127,548","167,334","127,548 to 167,334","17.0","14.7","19.3","14.7 to 19.3","$46,327","$44,768","$47,886","$44,768 to $47,886"
"1999","17","17000","Illinois","12,198,363","1,236,644","1,151,073","1,322,215","1,151,073 to 1,322,215","10.1","9.4","10.8","9.4 to 10.8","3,210,844","480,853","423,480","538,225","423,480 to 538,225","15.0","13.2","16.8","13.2 to 16.8","2,300,811","312,577","263,072","362,082","263,072 to 362,082","13.6","11.4","15.7","11.4 to 15.7","866,769","150,013","122,608","177,419","122,608 to 177,419","17.3","14.1","20.5","14.1 to 20.5","$45,214","$43,916","$46,513","$43,916 to $46,513"
"1998","17","17000","Illinois","12,057,888","1,281,425","1,186,987","1,375,864","1,186,987 to 1,375,864","10.6","9.8","11.4","9.8 to 11.4","3,235,571","498,804","436,158","561,449","436,158 to 561,449","15.4","13.5","17.4","13.5 to 17.4","2,310,088","321,423","264,752","378,094","264,752 to 378,094","13.9","11.5","16.4","11.5 to 16.4","886,541","152,657","125,475","179,838","125,475 to 179,838","17.2","14.2","20.3","14.2 to 20.3","$43,141","$41,693","$44,588","$41,693 to $44,588"
"1997","17","17000","Illinois","NA","1,353,506","1,266,070","1,440,943","1,266,070 to 1,440,943","11.3","10.5","12.0","10.5 to 12.0","NA","564,675","515,380","613,970","515,380 to 613,970","17.5","15.9","19.0","15.9 to 19.0","NA","366,954","324,892","409,016","324,892 to 409,016","16.2","14.3","18.1","14.3 to 18.1","NA","170,149","144,938","195,360","144,938 to 195,360","18.7","15.9","21.4","15.9 to 21.4","$41,179","$39,776","$42,581","$39,776 to $42,581"
"1996","17","17000","Illinois","NA","1,428,275","1,343,696","1,512,855","1,343,696 to 1,512,855","12.0","11.3","12.7","11.3 to 12.7","NA","591,749","542,886","640,611","542,886 to 640,611","18.4","16.8","19.9","16.8 to 19.9","NA","372,098","328,485","415,711","328,485 to 415,711","16.6","14.6","18.5","14.6 to 18.5","NA","191,336","165,756","216,915","165,756 to 216,915","20.9","18.1","23.7","18.1 to 23.7","$39,490","$37,981","$41,000","$37,981 to $41,000"
"1995","17","17000","Illinois","NA","1,331,704","1,271,597","1,391,811","1,271,597 to 1,391,811","11.3","10.8","11.8","10.8 to 11.8","NA","593,057","558,573","627,542","558,573 to 627,542","18.5","17.4","19.5","17.4 to 19.5","NA","362,791","342,722","382,860","342,722 to 382,860","16.1","15.2","17.0","15.2 to 17.0","NA","205,255","177,071","233,439","177,071 to 233,439","22.1","19.1","25.2","19.1 to 25.2","$38,078","$36,753","$39,403","$36,753 to $39,403"
"1993","17","17000","Illinois","NA","1,565,290","1,471,810","1,658,770","1,471,810 to 1,658,770","13.4","12.6","14.2","12.6 to 14.2","NA","643,528","590,661","696,395","590,661 to 696,395","20.4","18.7","22.0","18.7 to 22.0","NA","399,863","356,178","443,548","356,178 to 443,548","18.5","16.5","20.6","16.5 to 20.6","NA","222,953","198,883","247,023","198,883 to 247,023","23.5","21.0","26.1","21.0 to 26.1","$33,592","$32,505","$34,679","$32,505 to $34,679"
"1989","17","17000","Illinois","NA","1,348,440","1,282,347","1,414,533","1,282,347 to 1,414,533","11.9","11.3","12.5","11.3 to 12.5","NA","546,684","505,320","588,048","505,320 to 588,048","18.4","17.0","19.7","17.0 to 19.7","NA","348,629","314,653","382,605","314,653 to 382,605","16.8","15.1","18.4","15.1 to 18.4","NA","181,051","157,636","204,466","157,636 to 204,466","20.7","18.1","23.4","18.1 to 23.4","$31,846","$30,818","$32,874","$30,818 to $32,874"
"2014","18","18000","Indiana","6,391,497","968,437","950,798","986,076","950,798 to 986,076","15.2","14.9","15.5","14.9 to 15.5","1,545,261","328,349","318,378","338,320","318,378 to 338,320","21.2","20.6","21.8","20.6 to 21.8","1,128,089","217,465","209,291","225,639","209,291 to 225,639","19.3","18.6","20.0","18.6 to 20.0","409,190","103,837","98,555","109,119","98,555 to 109,119","25.4","24.1","26.7","24.1 to 26.7","$49,384","$48,906","$49,862","$48,906 to $49,862"
"2013","18","18000","Indiana","6,367,955","1,008,411","990,634","1,026,188","990,634 to 1,026,188","15.8","15.5","16.1","15.5 to 16.1","1,551,479","339,807","329,272","350,342","329,272 to 350,342","21.9","21.2","22.6","21.2 to 22.6","1,134,360","226,607","217,617","235,597","217,617 to 235,597","20.0","19.2","20.8","19.2 to 20.8","408,867","105,472","99,881","111,063","99,881 to 111,063","25.8","24.4","27.2","24.4 to 27.2","$47,508","$47,002","$48,014","$47,002 to $48,014"
"2012","18","18000","Indiana","6,342,403","984,948","969,517","1,000,379","969,517 to 1,000,379","15.5","15.3","15.7","15.3 to 15.7","1,564,255","345,235","335,861","354,609","335,861 to 354,609","22.1","21.5","22.7","21.5 to 22.7","1,139,828","228,022","220,554","235,490","220,554 to 235,490","20.0","19.3","20.7","19.3 to 20.7","416,596","110,112","104,930","115,294","104,930 to 115,294","26.4","25.2","27.6","25.2 to 27.6","$46,954","$46,540","$47,368","$46,540 to $47,368"
"2011","18","18000","Indiana","6,318,952","1,001,053","983,059","1,019,047","983,059 to 1,019,047","15.8","15.5","16.1","15.5 to 16.1","1,565,769","353,510","341,921","365,099","341,921 to 365,099","22.6","21.9","23.3","21.9 to 23.3","1,135,183","233,507","223,596","243,418","223,596 to 243,418","20.6","19.7","21.5","19.7 to 21.5","419,711","111,020","105,328","116,712","105,328 to 116,712","26.5","25.1","27.9","25.1 to 27.9","$46,410","$45,964","$46,856","$45,964 to $46,856"
